label,mean_abs,std_dev,peak_to_peak,kurtosis_data
0,0.058332421875000005,0.07347493104305192,0.8400000000000001,0.6287626426442556
0,0.058996630859374996,0.07533812128951384,0.757,0.6482910813108558
0,0.06023896484375,0.0761892927992494,0.903,0.5134753088232071
0,0.061453271484375,0.07869075089989153,1.184,1.157952723004808
0,0.061360986328125,0.07843746411081838,0.782,0.6031769286310373
0,0.061668505859375,0.07829782000144782,0.8049999999999999,0.4560936214628657
0,0.061943945312500005,0.07861603186545633,0.796,0.4786149756059883
0,0.061231347656250004,0.07774646967579023,0.749,0.4719824550317826
0,0.06228134765625,0.07900619543360511,0.747,0.404514320897305
0,0.059892822265625,0.07568852631669241,0.722,0.32520331504832
0,0.062369384765625015,0.07922086801763584,0.815,0.4552119318712826
0,0.06083764648437501,0.07762333368719734,0.913,0.6415150749455005
0,0.061091308593750004,0.07736575740151559,0.778,0.3647260382142652
0,0.06260361328125,0.07985799357629145,0.852,0.5982531546782233
0,0.062341455078125,0.07918146190235564,0.8049999999999999,0.5511103583412886
0,0.06163056640625,0.07864707093207793,0.725,0.5530516614826197
0,0.06188349609375001,0.07842744893849181,0.8200000000000001,0.47996609907349486
0,0.061244482421875,0.07760498435587541,0.849,0.4477488811593342
0,0.06147446289062499,0.07777670281156139,0.761,0.34144531637324205
0,0.061842382812500006,0.07890076758853798,0.874,0.5964296522845243
0,0.062211376953124994,0.07901527413866453,0.8029999999999999,0.5063801110635779
0,0.062623291015625,0.07934267114626233,0.742,0.38440684339994036
0,0.062512646484375,0.07946629829958578,0.6859999999999999,0.4149724425540562
0,0.06260395507812501,0.07972131548057863,0.759,0.5200740317916859
0,0.06244741210937501,0.07935676530457542,0.85,0.4846810415588352
0,0.061328759765625,0.07756141544378374,0.7130000000000001,0.3099755507638151
0,0.06144902343750001,0.07772622576182905,0.732,0.36804211992333746
0,0.0612880859375,0.0774813044446991,0.769,0.40420833824649316
0,0.06190380859375,0.07824409152481353,0.735,0.34199171275367135
0,0.06188974609375001,0.07882328465921586,0.871,0.5350200636292444
0,0.06172607421875,0.0785494350087652,0.803,0.4890447103350155
0,0.063207958984375,0.08021030375043676,0.774,0.4867117699711172
0,0.060691357421875015,0.07739824509206791,0.732,0.5086729705515918
0,0.06227343750000001,0.07899110019602928,0.74,0.40449241574751404
0,0.0615251953125,0.07822305672439377,0.6619999999999999,0.40668092875128137
0,0.061505615234375,0.07810817348945709,0.71,0.4218788787843972
0,0.060628320312500004,0.07683498673524616,0.76,0.40962780617356787
0,0.062685400390625,0.07984444085763252,0.8089999999999999,0.5706517890996228
0,0.06121889648437499,0.07739473796891001,0.734,0.35696928410462325
0,0.061414404296875,0.07843592197972266,0.896,0.6561008820895786
0,0.0615775390625,0.07855648477783131,0.725,0.5058926832599493
0,0.061915576171875,0.0786407433781452,0.747,0.45311400755295494
0,0.061147216796875,0.07760924722037751,0.779,0.43076402223267607
0,0.0614578125,0.07818452198751644,0.749,0.488396336752809
0,0.061381689453125,0.07807192688424783,0.913,0.5367816627512911
0,0.060115380859375,0.07646238946336069,0.705,0.45767000589970763
0,0.062267724609375,0.07888778445886611,0.6890000000000001,0.3564760255027606
0,0.060795263671875,0.07729310252096656,0.752,0.49828610176171706
0,0.061783984375,0.07821656732108538,0.764,0.32975824899322603
0,0.060625,0.0769404413543266,0.771,0.4243128403754697
0,0.061513964843750005,0.0784566088423693,0.792,0.5533985473990728
0,0.061633935546875,0.07851550116945437,0.8300000000000001,0.5791138307510244
0,0.06239111328125,0.07935929787647265,0.9930000000000001,0.6276825132083981
0,0.060578906249999995,0.07688593782324185,0.738,0.3985078570542333
0,0.06034692382812501,0.0766034706411227,0.793,0.42524278547334715
0,0.061459423828125005,0.07831092036327802,0.7909999999999999,0.613387552300388
